"MATK","MANHOM","USERNAME","PASSWORD","TRANGTHAI"
"TK001","NH001","bs.nguyen.an","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK002","NH001","bs.tran.bich","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK003","NH001","bs.le.cuong","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK004","NH002","tn.pham.dung","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK005","NH002","tn.vu.em","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK006","NH003","tk.doan.phuc","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK007","NH003","tk.ngo.giang","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK008","NH004","ql.bui.hung","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK009","NH001","bs.ly.juyen","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","0"
"TK010","NH005","kh.nguyen.lan","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
"TK011","NH005","kh.tran.minh","$2a$12$KIXSFTFQasdGHJKLMNOPQuvwxyz0123456789abcABCDEFGHIJ","1"
