"MAKH","MATK","CCCD","HOTEN","NGAYSINH","GIOITINH","SDT","DIACHI","DIEMTICHLUY","IS_DELETED"
"KH001","TK010","079091001111","Nguyễn Thị Lan","1990-05-15","Nữ","0911100001","15 Nguyễn Trãi, Q5, TP.HCM","120","0"
"KH002","TK011","079091002222","Trần Văn Minh","1985-08-20","Nam","0911100002","32 Lê Văn Sỹ, Q3, TP.HCM","85","0"
"KH003","","079091003333","Lê Thị Ngọc","1998-12-03","Nữ","0911100003","8 Hoàng Diệu, Q4, TP.HCM","0","0"
"KH004","","079091004444","Phạm Văn Oanh","1975-03-28","Nam","0911100004","102 Nguyễn Đình Chiểu, Q3, TP.HCM","230","0"
"KH005","","079091005555","Võ Thị Phương","2000-07-11","Nữ","0911100005","7 Trường Sa, PN, TP.HCM","0","0"
"KH006","","079091006666","Hoàng Văn Quân","1992-01-19","Nam","0911100006","45 Xô Viết Nghệ Tĩnh, BT, TP.HCM","45","0"
"KH007","","079091007777","Đinh Thị Rứa","1988-09-07","Nữ","0911100007","23 Bình Quới, BT, TP.HCM","18","0"
"KH008","","079091008888","Đỗ Văn Sơn","1970-11-25","Nam","0911100008","61 Lê Đức Thọ, GV, TP.HCM","68","0"
"KH009","","079091009999","Bùi Thị Tâm","1995-04-14","Nữ","0911100009","18 Phan Xích Long, PN, TP.HCM","0","0"
"KH010","","079091010000","Phan Văn Uy","1983-06-30","Nam","0911100010","90 Cộng Hòa, TB, TP.HCM","0","0"
"KH011","","079091011111","Ngô Thị Việt","2002-02-08","Nữ","0911100011","14 Lý Chính Thắng, Q3, TP.HCM","55","0"
"KH012","","079091012222","Lý Văn Xuân","1965-10-12","Nam","0911100012","55 Đinh Tiên Hoàng, BT, TP.HCM","785","0"
"KH013","","079091013333","Trịnh Thị Yến","1997-03-22","Nữ","0911100013","29 Nguyễn Kiệm, GV, TP.HCM","19","0"
"KH014","","079091014444","Huỳnh Văn Thắng","1980-07-04","Nam","0911100014","74 Phan Văn Trị, GV, TP.HCM","225","0"
"KH015","","079091015555","Mai Thị Ánh","1993-09-16","Nữ","0911100015","11 Nguyễn Oanh, GV, TP.HCM","0","0"
